canton,confirmed_cases,incidence,report_date
AG,436,64.3,2020-03-29
AI,8,49.6,2020-03-29
AR,43,77.9,2020-03-29
BE,788,76.1,2020-03-29
BL,496,172.1,2020-03-29
BS,684,351.2,2020-03-29
FL,62,161.6,2020-03-29
FR,410,128.6,2020-03-29
GE,1609,322.1,2020-03-29
GL,48,118.8,2020-03-29
GR,470,236.9,2020-03-29
JU,118,160.7,2020-03-29
LU,334,81.6,2020-03-29
NE,282,159.5,2020-03-29
NW,57,131.9,2020-03-29
OW,32,84.6,2020-03-29
SG,362,71.3,2020-03-29
SH,40,48.8,2020-03-29
SO,169,61.9,2020-03-29
SZ,125,78.5,2020-03-29
TG,115,41.6,2020-03-29
TI,1823,515.9,2020-03-29
UR,39,107,2020-03-29
VD,3091,386.8,2020-03-29
VS,880,255.8,2020-03-29
ZG,76,59.9,2020-03-29
ZH,1654,108.7,2020-03-29
AG,480,70.8,2020-03-30
AI,9,55.7,2020-03-30
AR,46,83.3,2020-03-30
BE,828,80,2020-03-30
BL,531,184.3,2020-03-30
BS,725,372.2,2020-03-30
FL,63,164.2,2020-03-30
FR,440,138.1,2020-03-30
GE,1835,367.4,2020-03-30
GL,49,121.3,2020-03-30
GR,493,248.5,2020-03-30
JU,122,166.2,2020-03-30
LU,347,84.7,2020-03-30
NE,309,174.7,2020-03-30
NW,62,143.4,2020-03-30
OW,34,89.8,2020-03-30
SG,387,76.2,2020-03-30
SH,41,50,2020-03-30
SO,181,66.3,2020-03-30
SZ,128,80.4,2020-03-30
TG,131,47.4,2020-03-30
TI,1948,551.3,2020-03-30
UR,45,123.5,2020-03-30
VD,3345,418.6,2020-03-30
VS,946,275,2020-03-30
ZG,80,63.1,2020-03-30
ZH,1781,117.1,2020-03-30
AG,493,72.7,2020-03-31
AI,10,61.9,2020-03-31
AR,47,85.1,2020-03-31
BE,866,83.7,2020-03-31
BL,550,190.9,2020-03-31
BS,748,384.1,2020-03-31
FL,65,169.4,2020-03-31
FR,465,145.9,2020-03-31
GE,1982,396.8,2020-03-31
GL,50,123.8,2020-03-31
GR,508,256.1,2020-03-31
JU,127,173,2020-03-31
LU,367,89.6,2020-03-31
NE,318,179.8,2020-03-31
NW,69,159.6,2020-03-31
OW,38,100.4,2020-03-31
SG,391,77,2020-03-31
SH,42,51.2,2020-03-31
SO,183,67,2020-03-31
SZ,130,81.7,2020-03-31
TG,136,49.2,2020-03-31
TI,2076,587.5,2020-03-31
UR,46,126.3,2020-03-31
VD,3457,432.6,2020-03-31
VS,997,289.9,2020-03-31
ZG,82,64.6,2020-03-31
ZH,1844,121.2,2020-03-31
AG,546,80.5,2020-04-01
AI,10,61.9,2020-04-01
AR,50,90.5,2020-04-01
BE,916,88.5,2020-04-01
BL,570,197.8,2020-04-01
BS,769,394.8,2020-04-01
FL,69,179.8,2020-04-01
FR,498,156.3,2020-04-01
GE,2213,443.1,2020-04-01
GL,53,131.2,2020-04-01
GR,516,260.1,2020-04-01
JU,136,185.2,2020-04-01
LU,379,92.5,2020-04-01
NE,337,190.6,2020-04-01
NW,70,162,2020-04-01
OW,40,105.7,2020-04-01
SG,410,80.8,2020-04-01
SH,44,53.7,2020-04-01
SO,190,69.5,2020-04-01
SZ,133,83.6,2020-04-01
TG,145,52.4,2020-04-01
TI,2180,617,2020-04-01
UR,49,134.5,2020-04-01
VD,3655,457.4,2020-04-01
VS,1069,310.8,2020-04-01
ZG,88,69.4,2020-04-01
ZH,1913,125.8,2020-04-01
AG,588,86.7,2020-04-02
AI,13,80.5,2020-04-02
AR,57,103.2,2020-04-02
BE,986,95.3,2020-04-02
BL,607,210.7,2020-04-02
BS,806,413.8,2020-04-02
FL,73,190.2,2020-04-02
FR,556,174.5,2020-04-02
GE,2454,491.3,2020-04-02
GL,56,138.6,2020-04-02
GR,564,284.3,2020-04-02
JU,145,197.5,2020-04-02
LU,404,98.6,2020-04-02
NE,353,199.6,2020-04-02
NW,75,173.5,2020-04-02
OW,41,108.3,2020-04-02
SG,450,88.6,2020-04-02
SH,44,53.7,2020-04-02
SO,208,76.1,2020-04-02
SZ,140,88,2020-04-02
TG,157,56.8,2020-04-02
TI,2256,638.5,2020-04-02
UR,54,148.2,2020-04-02
VD,3826,478.8,2020-04-02
VS,1143,332.3,2020-04-02
ZG,93,73.3,2020-04-02
ZH,2024,133.1,2020-04-02
AG,623,91.9,2020-04-03
AI,15,92.9,2020-04-03
AR,61,110.4,2020-04-03
BE,1050,101.5,2020-04-03
BL,633,219.7,2020-04-03
BS,844,433.3,2020-04-03
FL,76,198,2020-04-03
FR,583,182.9,2020-04-03
GE,2647,530,2020-04-03
GL,57,141.1,2020-04-03
GR,592,298.4,2020-04-03
JU,149,202.9,2020-04-03
LU,426,104,2020-04-03
NE,373,210.9,2020-04-03
NW,77,178.1,2020-04-03
OW,44,116.3,2020-04-03
SG,475,93.6,2020-04-03
SH,47,57.3,2020-04-03
SO,217,79.4,2020-04-03
SZ,147,92.4,2020-04-03
TG,171,61.9,2020-04-03
TI,2361,668.2,2020-04-03
UR,55,151,2020-04-03
VD,3983,498.4,2020-04-03
VS,1198,348.3,2020-04-03
ZG,104,82,2020-04-03
ZH,2198,144.5,2020-04-03
AG,663,97.8,2020-04-04
AI,16,99.1,2020-04-04
AR,62,112.2,2020-04-04
BE,1099,106.2,2020-04-04
BL,650,225.6,2020-04-04
BS,880,451.8,2020-04-04
FL,77,200.6,2020-04-04
FR,631,198,2020-04-04
GE,2937,588,2020-04-04
GL,60,148.5,2020-04-04
GR,619,312,2020-04-04
JU,151,205.7,2020-04-04
LU,446,108.9,2020-04-04
NE,396,223.9,2020-04-04
NW,78,180.5,2020-04-04
OW,47,124.2,2020-04-04
SG,497,97.9,2020-04-04
SH,47,57.3,2020-04-04
SO,231,84.6,2020-04-04
SZ,152,95.5,2020-04-04
TG,182,65.8,2020-04-04
TI,2423,685.7,2020-04-04
UR,57,156.5,2020-04-04
VD,4105,513.7,2020-04-04
VS,1254,364.6,2020-04-04
ZG,109,85.9,2020-04-04
ZH,2312,152,2020-04-04
AG,690,101.7,2020-04-05
AI,17,105.3,2020-04-05
AR,62,112.2,2020-04-05
BE,1133,109.5,2020-04-05
BL,668,231.8,2020-04-05
BS,902,463.1,2020-04-05
FL,78,203.2,2020-04-05
FR,661,207.4,2020-04-05
GE,3198,640.3,2020-04-05
GL,61,151,2020-04-05
GR,628,316.6,2020-04-05
JU,154,209.8,2020-04-05
LU,461,112.6,2020-04-05
NE,402,227.3,2020-04-05
NW,78,180.5,2020-04-05
OW,48,126.8,2020-04-05
SG,508,100.1,2020-04-05
SH,47,57.3,2020-04-05
SO,235,86,2020-04-05
SZ,158,99.3,2020-04-05
TG,193,69.8,2020-04-05
TI,2489,704.4,2020-04-05
UR,59,161.9,2020-04-05
VD,4230,529.3,2020-04-05
VS,1301,378.2,2020-04-05
ZG,116,91.5,2020-04-05
ZH,2424,159.4,2020-04-05
AG,722,106.5,2020-04-06
AI,17,105.3,2020-04-06
AR,63,114.1,2020-04-06
BE,1173,113.3,2020-04-06
BL,683,237,2020-04-06
BS,923,473.9,2020-04-06
FL,78,203.2,2020-04-06
FR,679,213,2020-04-06
GE,3309,662.5,2020-04-06
GL,61,151,2020-04-06
GR,636,320.6,2020-04-06
JU,159,216.6,2020-04-06
LU,475,116,2020-04-06
NE,415,234.7,2020-04-06
NW,84,194.3,2020-04-06
OW,49,129.5,2020-04-06
SG,525,103.4,2020-04-06
SH,49,59.8,2020-04-06
SO,242,88.6,2020-04-06
SZ,162,101.8,2020-04-06
TG,202,73.1,2020-04-06
TI,2527,715.2,2020-04-06
UR,61,167.4,2020-04-06
VD,4308,539.1,2020-04-06
VS,1339,389.3,2020-04-06
ZG,121,95.4,2020-04-06
ZH,2490,163.7,2020-04-06
AG,754,111.2,2020-04-07
AI,17,105.3,2020-04-07
AR,65,117.7,2020-04-07
BE,1231,118.9,2020-04-07
BL,706,245,2020-04-07
BS,944,484.7,2020-04-07
FL,78,203.2,2020-04-07
FR,719,225.6,2020-04-07
GE,3448,690.3,2020-04-07
GL,61,151,2020-04-07
GR,649,327.2,2020-04-07
JU,164,223.4,2020-04-07
LU,497,121.4,2020-04-07
NE,432,244.3,2020-04-07
NW,85,196.7,2020-04-07
OW,52,137.4,2020-04-07
SG,550,108.3,2020-04-07
SH,50,61,2020-04-07
SO,248,90.8,2020-04-07
SZ,174,109.3,2020-04-07
TG,211,76.3,2020-04-07
TI,2583,731,2020-04-07
UR,62,170.2,2020-04-07
VD,4371,547,2020-04-07
VS,1374,399.5,2020-04-07
ZG,126,99.3,2020-04-07
ZH,2591,170.4,2020-04-07
AG,782,115.3,2020-04-08
AI,17,105.3,2020-04-08
AR,66,119.5,2020-04-08
BE,1261,121.8,2020-04-08
BL,720,249.9,2020-04-08
BS,955,490.3,2020-04-08
FL,79,205.8,2020-04-08
FR,746,234.1,2020-04-08
GE,3573,715.3,2020-04-08
GL,62,153.5,2020-04-08
GR,656,330.7,2020-04-08
JU,168,228.8,2020-04-08
LU,498,121.6,2020-04-08
NE,446,252.2,2020-04-08
NW,91,210.5,2020-04-08
OW,52,137.4,2020-04-08
SG,569,112.1,2020-04-08
SH,50,61,2020-04-08
SO,252,92.2,2020-04-08
SZ,179,112.5,2020-04-08
TG,223,80.7,2020-04-08
TI,2643,748,2020-04-08
UR,63,172.9,2020-04-08
VD,4446,556.3,2020-04-08
VS,1427,414.9,2020-04-08
ZG,130,102.5,2020-04-08
ZH,2635,173.2,2020-04-08
AG,815,120.2,2020-04-09
AI,17,105.3,2020-04-09
AR,67,121.3,2020-04-09
BE,1324,127.9,2020-04-09
BL,739,256.5,2020-04-09
BS,976,501.1,2020-04-09
FL,79,205.8,2020-04-09
FR,773,242.5,2020-04-09
GE,3783,757.4,2020-04-09
GL,64,158.4,2020-04-09
GR,668,336.7,2020-04-09
JU,175,238.4,2020-04-09
LU,510,124.5,2020-04-09
NE,471,266.3,2020-04-09
NW,93,215.2,2020-04-09
OW,54,142.7,2020-04-09
SG,594,117,2020-04-09
SH,52,63.4,2020-04-09
SO,261,95.5,2020-04-09
SZ,191,120,2020-04-09
TG,237,85.7,2020-04-09
TI,2698,763.6,2020-04-09
UR,65,178.4,2020-04-09
VD,4512,564.6,2020-04-09
VS,1477,429.4,2020-04-09
ZG,134,105.6,2020-04-09
ZH,2743,180.3,2020-04-09
AG,844,124.4,2020-04-10
AI,19,117.7,2020-04-10
AR,71,128.5,2020-04-10
BE,1382,133.5,2020-04-10
BL,761,264.1,2020-04-10
BS,996,511.4,2020-04-10
FL,80,208.5,2020-04-10
FR,802,251.6,2020-04-10
GE,3929,786.6,2020-04-10
GL,73,180.7,2020-04-10
GR,691,348.3,2020-04-10
JU,179,243.8,2020-04-10
LU,522,127.5,2020-04-10
NE,490,277.1,2020-04-10
NW,98,226.7,2020-04-10
OW,55,145.3,2020-04-10
SG,622,122.5,2020-04-10
SH,53,64.6,2020-04-10
SO,272,99.6,2020-04-10
SZ,196,123.1,2020-04-10
TG,251,90.8,2020-04-10
TI,2760,781.1,2020-04-10
UR,65,178.4,2020-04-10
VD,4625,578.7,2020-04-10
VS,1522,442.5,2020-04-10
ZG,137,108,2020-04-10
ZH,2813,184.9,2020-04-10
AG,873,128.7,2020-04-11
AI,19,117.7,2020-04-11
AR,73,132.2,2020-04-11
BE,1426,137.8,2020-04-11
BL,773,268.3,2020-04-11
BS,1009,518.1,2020-04-11
FL,80,208.5,2020-04-11
FR,840,263.6,2020-04-11
GE,4026,806,2020-04-11
GL,88,217.8,2020-04-11
GR,702,353.9,2020-04-11
JU,182,247.9,2020-04-11
LU,546,133.3,2020-04-11
NE,511,288.9,2020-04-11
NW,100,231.4,2020-04-11
OW,56,148,2020-04-11
SG,631,124.3,2020-04-11
SH,55,67.1,2020-04-11
SO,284,104,2020-04-11
SZ,210,131.9,2020-04-11
TG,263,95.1,2020-04-11
TI,2802,793,2020-04-11
UR,66,181.2,2020-04-11
VD,4729,591.8,2020-04-11
VS,1546,449.5,2020-04-11
ZG,138,108.8,2020-04-11
ZH,2872,188.8,2020-04-11
